Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778863380,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778863381,10,,Aggregated,0.000000,0.000000,370,370,440,510,570,570,570,570,570,570,570,10,0,370.0,407.7457550999952,360.62957499996173,574.9538589999474,13.0
1778863382,20,,Aggregated,0.000000,0.000000,240,360,370,370,510,510,570,570,570,570,570,30,0,210.0,259.1267058999999,71.6278910000483,574.9538589999474,13.0
1778863383,40,,Aggregated,0.000000,0.000000,260,370,400,410,510,520,540,570,570,570,570,70,0,240.0,270.5647339428652,67.53258199989887,574.9538589999474,13.0
1778863384,50,,Aggregated,10.000000,0.000000,180,220,350,370,440,510,530,540,570,570,570,120,0,180.0,210.99564272500402,66.75021900002776,574.9538589999474,13.0
1778863385,70,,Aggregated,23.333333,0.000000,190,240,340,360,430,500,520,540,570,570,570,183,0,190.0,221.3930430655816,66.75021900002776,574.9538589999474,13.0
1778863386,80,,Aggregated,30.000000,0.000000,200,270,360,370,450,510,540,550,570,570,570,224,0,200.0,234.24813141964873,66.75021900002776,574.9538589999474,13.0
1778863387,100,,Aggregated,35.200000,0.000000,220,360,420,490,590,880,1100,1100,1300,1300,1300,257,0,220.0,310.3983467704324,66.75021900002776,1277.3997919999829,13.0
1778863388,106,,Aggregated,36.833333,0.000000,250,400,500,540,1100,1300,1700,1700,1900,1900,1900,281,0,250.0,403.31355348399046,66.75021900002776,1939.9159900000313,13.0
1778863389,106,,Aggregated,36.142857,0.000000,340,510,880,1200,1700,2500,2700,2700,2800,2800,2800,325,0,340.0,632.2782850800046,66.75021900002776,2774.647165999909,13.0
1778863390,107,,Aggregated,34.875000,0.000000,430,870,1300,1400,2300,2600,2700,2800,2900,2900,2900,400,0,430.0,788.6615872725034,66.75021900002776,2935.87555900001,13.0
1778863391,108,,Aggregated,35.555556,0.000000,360,650,1300,1400,2100,2400,2700,2700,2900,2900,2900,481,0,360.0,721.1954533866981,66.75021900002776,2935.87555900001,13.0
1778863392,109,,Aggregated,39.000000,0.000000,280,540,1100,1300,1700,2400,2600,2700,2900,2900,2900,573,0,280.0,652.2697693961632,66.75021900002776,2935.87555900001,13.0
1778863393,110,,Aggregated,46.100000,0.000000,220,480,870,1100,1600,2300,2600,2700,2900,2900,2900,675,0,220.0,579.9471658607447,66.75021900002776,2935.87555900001,13.0
